Percentile	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0
Group	CD	CD	CD	CD	CD	Control	Control	Control	Control	Control
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;__	1.0	1.0	1.0	1.0	350.0	1.0	1.0	1.0	1.0	247.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotellaceae_NK3B31_group	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	381.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Alloprevotella	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	174.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella_9	1.0	1.0	1.0	1.0	7390.0	1.0	1.0	1.0	889.25	6044.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella	1.0	1.0	1.0	1.0	5.0	1.0	1.0	1.0	1.0	2382.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella_7	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	104.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes	1.0	2.0	48.0	156.75	2165.0	1.0	52.5	139.5	269.5	732.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;__;__;__	1.0	1.0	1.0	1.0	17.0	1.0	1.0	1.0	1.0	8.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas	1.0	1.0	1.0	1.0	58.0	1.0	1.0	1.0	1.0	4.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;__	1.0	1.0	11.5	33.75	507.0	1.0	22.25	68.0	95.5	352.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;__;__	1.0	1.0	1.0	1.0	469.0	1.0	1.0	1.0	2.5	86.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides	1.0	1.0	12.5	143.75	577.0	1.0	26.25	75.5	136.75	414.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;__	1.0	1.0	1.0	1.0	216.0	1.0	1.0	1.0	1.0	1.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Tannerellaceae	1.0	1.0	1.0	1.0	115.0	1.0	1.0	1.0	1.0	20.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Barnesiellaceae;g__Barnesiella	1.0	1.0	1.0	1.0	910.0	1.0	1.0	22.5	96.75	465.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculaceae	1.0	1.0	1.0	1.0	178.0	1.0	1.0	1.0	1.0	727.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Odoribacter	1.0	1.0	1.0	14.25	523.0	1.0	4.25	11.0	20.75	70.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Rikenella	1.0	1.0	1.0	1.0	5.0	1.0	1.0	1.0	1.0	1.0
d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Bilophila	1.0	1.0	11.5	43.75	149.0	1.0	3.25	21.0	35.0	106.0
d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio	1.0	1.0	1.0	1.0	335.0	1.0	1.0	1.0	1.0	79.0
